front,back,hint,publishedAt
"Entsorgung","Disposal","Neuer Test für Fukushima-Entsorgung","2024-09-14T13:43:25.699Z"
"Treuepunkt","Loyalty point","","2025-05-20T13:22:33.232Z"
"ebnen","to level","Wir müssen den Weg zum Haus ebnen, damit die Gäste leichter ankommen.","2025-04-29T16:57:21.134Z"
"weiter","further","Wir müssen weiterarbeiten.","2024-09-21T12:58:10.234Z"
"die geige","the Violin","Ich spiele seit fünf Jahren die Geige.","2025-03-16T19:03:53.822Z"
"Bauchgefühl","Gut feeling","Ich habe ein gutes Bauchgefühl, dass wir das Projekt erfolgreich abschließen werden.","2025-05-31T18:43:52.167Z"
"inspizieren","inspect","Der Lehrer wird die Hausaufgaben inspizieren.","2025-05-31T18:39:19.260Z"
"die Fusion","the merger","","2025-03-17T20:55:02.938Z"
"Abstechen","to stab to death, butcher, or kill with a blade","","2025-04-17T13:55:17.379Z"
"die Fichte","the Spruce","Im Wald stehen viele hohe Fichten.","2025-04-20T22:28:35.737Z"
"dran","on it","Ich bin jetzt dran mit dem Vorlesen.","2025-05-20T13:23:47.978Z"
"fegt","sweeps","Die Frau fegt den Gehweg vor ihrem Haus.","2025-04-26T12:06:40.088Z"
"Erblinie","Heritage line","","2025-06-05T19:03:50.243Z"
"verharmlosen","trivialise","Ohne die schlechten Seiten zu verharmlosen,","2025-06-06T14:51:42.701Z"
"fürsorglich","caring","Die fürsorgliche Mutter kümmert sich immer um das Wohl ihrer Kinder.","2024-09-18T19:19:33.712Z"
"das Lenkrad","steering wheel","Das Lenkrad ist sehr leichtgängig in diesem neuen Auto.","2025-05-22T08:34:29.593Z"
"das heimweh","the homesickness","Nach einem Monat im Ausland hatte ich starkes Heimweh.","2025-03-16T19:11:25.157Z"
"das Projekt","the project","","2025-03-17T20:45:02.866Z"
"das Eindringen","the intrusion/penetration","Die Polizei musste das Gebäude betreten, um die Verdächtigen zu fangen, die in das Haus eingedrungen waren.","2025-04-06T20:18:58.324Z"
"sowie auf die Person, die ihnen","and to the person who","","2025-05-31T18:35:15.303Z"
"erwischen","to catch/catch someone in the act","Sie wurde beim Schummeln in der Prüfung erwischt.","2024-08-09T21:35:50.116Z"
"geübten","practised","","2025-04-20T21:24:56.928Z"
"fände","found","","2024-09-29T11:13:29.580Z"
"das Holz","the wood","Das Holz für das neue Regal ist sehr stabil.","2025-04-21T13:00:42.080Z"
"Der Albtraum","The Nightmare","Der Albtraum hat mich die ganze Nacht wachgehalten.","2025-05-24T08:46:58.715Z"
"warum buht ihr mich aus","why are you booing me","","2025-05-20T13:26:37.285Z"
"wer war denn bloß dieser typ","who the hell was this guy","","2025-05-22T08:45:17.637Z"
"Seitdem","Since","Ich habe seitdem viel gelernt.","2025-03-08T12:27:06.768Z"
"Aufladen","Recharge","Ich muss mein Handy aufladen, es hat nur noch 10% Akku.","2024-07-21T11:14:35.674Z"
"scheint","seems","Er scheint sehr glücklich zu sein.","2024-09-18T20:14:07.549Z"
"das Wohlergehen","the Welfare","Die Regierung hat neue Maßnahmen ergriffen, um das Wohlergehen der Bürger zu verbessern.","2024-12-17T23:37:02.058Z"
"benötigen","need","Ich benötige eine neue Brille.","2024-08-01T18:59:32.948Z"
"darum/daher/deshalb/deswegen","therefore/therefore/therefore/therefore","Es regnet, darum bleiben wir zu Hause.","2025-03-16T19:12:15.375Z"
"der Umsatz","the revenue","Nach der Einführung des neuen Produkts stieg der Umsatz stark an.","2025-05-01T12:57:16.984Z"
"vorbeilaufen","running past","Ich bin schnell an der Schule vorbeigelaufen.","2025-03-16T19:04:16.717Z"
"das Verfahren","the procedure, method, legal process","Das Verfahren zur Herstellung von Schokolade ist sehr komplex.","2025-04-18T23:03:09.282Z"
"der Großhändler","the wholesaler","","2025-03-17T20:54:56.076Z"
"das Gehöft","the Farmstead","Auf dem Gehöft leben viele Tiere, darunter Kühe und Hühner.","2024-09-17T20:40:41.898Z"
"tagelang","for days","Wir haben tagelang auf den Urlaub gewartet.","2025-05-20T14:25:11.118Z"
"die Hüfte","hip","Ich habe mir beim Sport die Hüfte verletzt.","2024-09-05T18:30:05.072Z"
"der zaun","the fence","Der Zaun um unseren Garten ist aus Holz.","2025-06-05T19:08:06.033Z"
"vorbeikommen","come round","Ich komme morgen bei dir vorbei.","2025-03-16T19:03:50.905Z"
"getan","done","Ich habe meine Hausaufgaben getan.","2025-04-17T13:55:03.205Z"
"das Antivirenprogramm","Antivirus","","2024-09-17T13:37:49.773Z"
"lass mich in ruhe","leave me alone","","2025-05-22T08:38:10.561Z"
"ernennen","appoint","Der Lehrer hat ihn zum Klassensprecher ernannt.","2025-05-20T14:25:36.865Z"
"die Wasserwaage","the spirit level","Bevor ich die Fliesen lege, überprüfe ich mit der Wasserwaage, ob der Boden eben ist.","2025-04-20T22:27:09.922Z"
"der Kunde","the customer","Der Kunde hat das Produkt zurückgegeben.","2024-07-22T13:16:07.884Z"
"mögen","to like","Wir mögen den Sommer.","2025-05-16T12:42:26.928Z"
"Leerzeichen überspringen","Skip spaces","Ich habe ein Leerzeichen zwischen den Wörtern gelassen.","2025-05-31T18:37:50.947Z"
"unfähig","unable","","2025-06-06T14:50:58.099Z"
"Energie aufzunehmen und abzugeben.","absorb and release energy.","","2024-07-15T23:56:32.362Z"
"Verzeihen","Forgive","Ich kann dir nicht verzeihen, dass du mein Vertrauen missbraucht hast.","2025-05-31T18:53:43.634Z"
"brechen","break","Ich habe das Glas gebrochen.","2025-05-31T18:35:58.344Z"
"misstrauisch","suspicious","Er war misstrauisch gegenüber den neuen Nachbarn.","2025-05-22T08:43:50.992Z"
"begraben","bury","Mein Großvater wurde gestern begraben.","2024-07-21T14:58:15.550Z"
"Als der zorn des volkes losbrach","When the wrath of the people broke loose","","2025-05-24T08:46:08.187Z"
"schauten","looked","Wir schauten den Sonnenuntergang am Strand.","2025-04-21T14:37:06.132Z"
"der Fleck -en","the stain, blot","Ich habe einen Fleck auf meinem Hemd.","2025-04-21T13:22:59.628Z"
"Speicher","Memory/storage","Mein Speicher ist voll, ich muss einige Dateien löschen.","2024-07-25T18:14:58.958Z"
"das Silber","the silver","Ich habe eine Kette aus Silber geschenkt bekommen.","2025-04-26T16:10:35.046Z"
"wie","how","Wie findest du den Film?","2023-07-21T13:18:58.113Z"
"eindeutig","clearly/unambiguous","Das war eine eindeutige Antwort.","2024-07-23T15:01:20.977Z"
"schwuler","gayer","Er ist ein schwuler Mann und stolz darauf.","2025-05-20T14:09:21.759Z"
"Rettungsboot","Lifeboat","Das Rettungsboot wurde schnell zu den Überlebenden geschickt.","2025-06-05T19:06:00.283Z"
"Seidenstraße","Silk Road","","2025-04-26T12:53:32.295Z"
"bietet","offers","Das Restaurant bietet eine große Auswahl an Gerichten.","2025-05-19T09:01:10.106Z"
"Fehlinterpretation","Misinterpretation","","2025-05-30T16:56:19.993Z"
"kaufe kondome zum fremdgehen","buy condoms for cheating","","2025-05-20T13:23:33.743Z"
"Überqueren","Cross","Wir müssen die Straße überqueren, um zum Park zu gelangen.","2025-04-06T20:16:02.044Z"
"der zufall","the coincidence","Es war reiner Zufall, dass wir uns in der Stadt getroffen haben.","2025-04-30T22:00:39.933Z"
"Machen wir also einen Schritt zurück und schauen uns an","So let's take a step back and look at","","2024-06-22T12:32:11.592Z"
"Leute, mit lücke im Lebenslauf ablehnen","Reject people with a gap in their CV","","2025-05-19T09:00:43.807Z"
"Nüchternen","Sober","Aber auch die sehr schlechten Ideen von Nüchternen nennt man Schnapsideen.","2025-03-18T21:20:37.063Z"
"Beschwöre","Summon","","2025-04-29T16:58:25.003Z"
"ein Erwerb","an acquisition","Das Unternehmen tätigte ein Erwerb eines kleineren Konkurrenten, um seinen Marktanteil zu erweitern.","2025-05-01T12:57:32.950Z"
"liefern","deliver","Die Firma wird die Pakete morgen liefern.","2024-08-09T21:16:23.434Z"
"hervor","emerge","Die Sonne kam hinter den Wolken hervor.","2024-08-09T21:49:37.600Z"
"Verschiebt","Shifts","","2025-05-11T15:43:53.985Z"
"Startlesezeichen","Start bookmark","","2025-04-26T12:52:14.217Z"
"Gewohnheit","habit","Gewohnheit entspricht, wenn etwas \ngebräuchlich ist.","2025-05-06T22:31:56.667Z"
"erschrocken","frightened","Als der Hund bellte, war ich ganz erschrocken.","2025-04-23T16:34:03.334Z"
"zugerichtet","prepared, arranged, badly injured, beaten up","Die Blumen wurden für den Anlass zugerichtet.","2025-04-16T22:49:16.879Z"
"der Anschluss","the connection","Der Anschluss Österreichs an das Deutsche Reich im Jahr 1938 war ein wichtiger Schritt für die Nazis.","2024-06-20T22:54:17.150Z"
"Laura war eine Frau ende dreißig","Laura was a woman in her late thirties","","2025-05-22T09:15:49.922Z"
"der Maulwurf","the mole","Der Maulwurf hat im Garten viele Hügel hinterlassen.","2025-04-17T13:56:19.709Z"
"wenn du für etwas wirbst,","when you advertise something,","wenn du für etwas wirbst, wenn du für \netwas Marketing machst, das Marketing, die","2025-05-06T22:34:07.788Z"
"die Knechtschaft","servitude/bondage/slavery","Die Knechtschaft der Arbeiter im 19. Jahrhundert war ein großes Problem.","2025-04-17T14:00:34.310Z"
"gelähmt","paralyzed","Die Angst vor dem Auftritt ließ sie gelähmt auf der Bühne stehen.","2025-04-16T22:51:15.915Z"
"zurückgelassen","left behind","Er hat seine Tasche im Zug zurückgelassen.","2025-04-07T20:11:02.419Z"
"wer","who","Wer ist das?","2023-07-21T15:15:02.031Z"
"herauszuquetschen","to squeeze out/Extract","Ich musste ihn lange fragen, um die Wahrheit herauszuquetschen.","2025-04-06T20:05:49.610Z"
"die Kartusche","the cartridge","Ich habe eine neue Kartusche für meinen Drucker gekauft.","2025-04-07T19:57:56.026Z"
"die kiste","the box","","2024-06-17T20:26:36.701Z"
"die Ehrlichkeit","the honesty","In einer Beziehung ist Ehrlichkeit sehr wichtig.","2025-04-20T21:23:57.748Z"
"die Zutat","the ingredient","","2024-06-17T21:01:48.737Z"
"Gedächtnis","Memory (persons)","Das zweite Werkzeug ist daher\ndas Gedächtnis, also die Fähigkeit,","2024-07-20T14:44:56.400Z"
"vermögensberater","wealth advisor","","2025-05-20T13:24:27.921Z"
"Tagesblauf","Daily schedule","","2025-01-31T17:58:51.589Z"
"malerisch","picturesque","Das malerische Dorf liegt in den Bergen und ist ein beliebtes Ausflugsziel.","2025-05-24T08:49:13.726Z"
"vorhaben","project","Ich habe ein großes Vorhaben für das Wochenende.","2025-03-16T19:04:26.447Z"
"Augenschein","Visual inspection","","2025-05-31T18:39:40.652Z"
"den mund halten","keep your mouth shut","Wenn du nichts Konstruktives beizutragen hast, halte bitte den Mund.","2025-05-22T08:37:33.563Z"
"die Schaltfläche","the button","Bitte klicken Sie auf die Schaltfläche, um das Formular abzusenden.","2025-04-28T21:15:42.247Z"
"gekrümmt","curved","Die gecrümmte Linie auf dem Papier war schwer zu zeichnen.","2025-04-06T20:12:08.101Z"
"Deckel","Cover","Dann füllt man es in ein sauberes Gefäß mit Deckel.","2024-09-14T10:29:16.467Z"
"die Hornisse","the hornet","Die Hornisse hat ein großes Nest in unserem Garten gebaut.","2025-05-20T14:23:38.516Z"
"Kernerweiterung","Core extension","","2025-04-26T12:13:05.417Z"
"Honigwabe","Honeycomb","Die Bienen sammeln Nektar und bringen ihn zurück zur Honigwabe.","2025-05-20T14:24:00.325Z"
"notgeisten","a state of emergency","In der Prüfung war ich so nervös, dass ich wie ein Notgeisten gehandelt habe.","2025-04-16T22:46:26.811Z"
"die Mauer","the Wall","Hier verlief von 1961-1989 eine Mauer.","2024-08-15T15:56:17.105Z"
"Die Dämlichen","The stupid people","","2025-04-17T22:13:22.702Z"
"der Geschäftsführer","the managing director","","2025-03-17T20:45:35.580Z"
"Die Tragödie","The tragedy","","2025-04-28T21:00:04.599Z"
"bevorstehen","to be about to happen","Die Prüfungen stehen bevor.","2024-06-18T23:18:48.340Z"
"die Unkräuter","the weeds","","2025-04-27T12:37:12.020Z"
"brutal nieder","brutally down","","2025-05-24T08:50:28.853Z"
"SONDERANGEBOTE","SPECIAL OFFERS","","2025-04-28T21:02:29.687Z"
"beschließen","decide on","","2023-10-12T15:10:23.016Z"
"schaumig","frothy","","2024-12-16T23:07:08.429Z"
"Lebenslauf","curriculum vitae","Ich habe meinen Lebenslauf aktualisiert, bevor ich mich beworben habe.","2025-05-19T09:00:09.925Z"
"toben","to romp/frolic/play energetically","Die Kinder toben im Garten.","2024-08-09T21:48:01.188Z"
"morgens","In the morning","Ich gehe morgens joggen.","2025-04-26T12:05:51.651Z"
"Mach keinen stress","Don't stress","","2025-05-22T08:33:39.174Z"
"schräger","slanted","","2025-04-07T20:12:02.457Z"
"sowohl","either","Ich mag sowohl Schokolade als auch Vanilleeis.","2025-04-21T14:39:24.142Z"
"die Kugel","the ball/sphere/bullet","Die Kugel rollt den Hügel hinunter.","2025-04-07T19:57:05.644Z"
"Herausforderungen","Challenges","","2024-07-21T11:57:19.619Z"
"Runterspringen","Jump down","","2024-11-01T20:46:38.324Z"
"Der Horror","The horror","","2025-04-28T21:00:38.024Z"
"der Prunk","the splendour","Der Prunk des Schlosses beeindruckte alle Besucher.","2025-04-26T12:49:57.211Z"
"saß","sat","Er saß auf dem Stuhl und las ein Buch.","2025-04-21T14:38:09.883Z"
"die Kiefer-n","the Pine tree","Im Wald stehen viele hohe Kiefern.","2025-04-20T22:28:43.695Z"
"der Anlass","occasion, reason, cause","Wir feiern den Anlass mit einer großen Party.","2025-04-18T23:01:28.964Z"
"die Schnapsidee, -n","the boozy idea, -n","","2025-03-18T21:19:33.620Z"
"Das Abenteuer","The adventure","Wir haben ein aufregendes Abenteuer im Dschungel erlebt.","2025-04-28T21:01:43.359Z"
"daher","therefore","Es regnet, daher bleiben wir zu Hause.","2024-08-09T21:51:38.648Z"
"beanspruchen","claim","Ein häufiges Argument gegen soziale Netzwerke ist, dass sie zu viel Zeit beanspruchen.","2024-12-16T22:57:01.041Z"
"entspricht","corresponds to","Gewohnheit entspricht, wenn etwas \ngebräuchlich ist.","2025-05-06T22:32:00.294Z"
"ärgerlich","annoying","Ein Kratzer von einem dreckigen Stock\nim Park - wie ärgerlich.","2024-08-25T12:03:08.422Z"
"die dämliche","the stupid woman","","2025-04-17T22:13:07.739Z"
"Die Verwandlung","The transformation","","2025-04-17T22:15:08.498Z"
"Gehorsam","Obedience","Die Kinder zeigen Gehorsam gegenüber ihren Lehrern.","2025-04-26T12:46:07.295Z"
"kacksäcke","poo bags","","2025-04-16T22:48:47.317Z"
"die Keramik","Ceramics","Es besteht wahrscheinlich aus Keramik","2025-05-06T22:30:06.617Z"
"sich melden","report","","2023-11-07T14:03:05.644Z"
"abhandeln","to deal","dass wir es unmöglich in einem\neinzigen Video abhandeln können.","2024-08-25T12:01:38.841Z"
"der Juckreiz","the itching","Nach dem Insektenstich hatte ich starken Juckreiz.","2025-04-17T22:14:04.517Z"
"das Unkraut","the weed \" (plants you don't want in your garden)","Im Garten muss ich das Unkraut regelmäßig jäten, damit die Blumen genug Platz haben.","2025-04-27T12:37:02.894Z"
"Evolutionsräuber","Evolutionary predators","","2025-05-11T15:43:38.142Z"
"Rückgängig machen","Undo","","2025-04-28T21:12:17.600Z"
"warum der Weihnachtsmann dem Onkel so ähnlich sieht","Why Santa looks so much like his uncle","Zum Beispiel, wenn ein Kind fragt, warum der Weihnachtsmann dem Onkel so ähnlich sieht.","2025-03-18T21:12:01.916Z"
"das Erdöl","the Crude oil","Die Preise für Erdöl steigen aufgrund der politischen Unruhen.","2025-05-20T09:01:14.702Z"
"das karnickel","the rabbit (old fashioned/funny)","Mein Karnickel liebt es, im Garten zu hoppeln.","2025-04-16T22:51:07.538Z"
"der zuschlag","surcharge","Für das Ticket muss ich einen Zuschlag für die erste Klasse bezahlen.","2025-03-16T19:10:14.314Z"
"Dschihad","Jihad","","2025-05-20T09:05:23.419Z"
"ausgebildet","trained","Er ist als Lehrer ausgebildet.","2025-03-16T19:03:32.586Z"
"flach","flat","Die Landschaft hier ist flach und hat keine Hügel.","2025-04-18T22:50:03.331Z"
"der Vorfahr","the ancestor","Mein Vorfahr kam im 18. Jahrhundert nach Deutschland.","2024-11-03T15:40:28.952Z"
"das Waisenkind","the orphan","Das Waisenkind lebte in einem Heim und träumte von einer eigenen Familie.","2025-04-07T20:00:27.764Z"
"Gezwungen","Forced/Compelled","Ich fühlte mich gezwungen, die Wahrheit zu sagen.","2025-04-07T13:51:22.123Z"
"angefertigt","made","","2024-09-29T16:54:05.162Z"
"Schleichen","Sneak","Der Dieb schlich sich in das Haus.","2025-03-08T12:34:01.575Z"
"Die Veranstaltung","The event","","2025-05-06T22:31:08.871Z"
"widerstandskräftig","Resistant","","2025-04-26T12:45:48.480Z"
"die Titelleiste","the title bar","","2025-04-28T21:18:03.896Z"
"Gab es damals genauso viele Flüchtlinge wie heute?","Were there as many refugees then as there are now?","","2024-07-09T20:47:25.519Z"
"erlebt","experienced","Ich habe viele Abenteuer in meiner Kindheit erlebt.","2025-04-30T22:24:05.264Z"
"Kriegsgeil","War-hungry","","2025-04-17T13:54:29.994Z"
"atmen","to breathe","Ich atme tief ein.","2025-05-20T14:12:28.756Z"
"Die Dokumentation","The documentation","","2025-04-28T21:01:54.708Z"
"die Anziehung","Attraction","Er spürte eine starke Anziehung zu ihr.","2024-09-10T21:19:32.844Z"
"verließen","left/abandoned","","2024-07-18T22:34:58.022Z"
"gehen","walk","Ich gehe zur Schule.","2025-04-26T12:05:29.497Z"
"entbehrlich","dispensable","In der heutigen Besprechung waren einige Teilnehmer entbehrlich.","2025-04-16T22:51:01.038Z"
"heftig","fierce","Das Gewitter war sehr heftig.","2025-04-07T19:58:40.384Z"
"gen","towards/coming (stylistic/written)","Er kommt gen Berlin.","2025-04-26T12:10:02.677Z"
"Belastungsempfehlung","Load recommendation","","2025-04-20T22:31:43.539Z"
"abgewähren","weigh","","2025-04-07T20:11:37.008Z"
"dicht","dense, thick, tightly packed, tight","Ein dichter Wald","2023-10-09T15:24:04.328Z"
"Das Gold","The gold","","2025-04-26T16:11:29.226Z"
"quetschen","squeeze","Ich habe die Zitrone gequetscht, um den Saft herauszubekommen.","2025-04-06T20:06:06.627Z"
"Der Thriller","The thriller","","2025-04-28T21:00:25.969Z"
"getreten","kicked","Er hat den Ball mit voller Kraft getreten.","2025-04-21T14:35:42.924Z"
"der lauf","the run","Ich gehe jeden Morgen joggen, um meinen Lauf zu verbessern.","2025-04-17T13:55:42.869Z"
"raushängt","hangs out","","2025-04-07T20:12:19.245Z"
"Lesung","Reading","Die Veranstaltung, zum Beispiel ein Konzert \noder eine Lesung, also ein Event.","2025-05-06T22:31:22.210Z"
" Wie viel Trinkgeld ist üblich"," How much to tip is customary","","2025-05-06T22:33:27.191Z"
"reizbar","irritable, touchy","Nach einer langen Woche war sie besonders reizbar und konnte sich über Kleinigkeiten aufregen.","2025-04-18T22:43:35.764Z"
"jucken","to itch","Mein Arm juckt nach dem Insektenstich.","2025-04-16T22:49:00.709Z"
"Aussage","statement","Die Aussage des Lehrers war sehr klar und verständlich.","2025-05-16T12:35:32.272Z"
"feucht","damp, moist","Die Luft ist heute sehr feucht und schwül.","2025-04-18T22:43:59.482Z"
"Einheimische","local person, native, resident","Die Einheimischen kennen die besten Plätze zum Essen.","2025-04-21T13:30:51.404Z"
"Der Krimi(s)","the crime thriller","","2025-04-28T21:01:07.855Z"
"der Mitarbeiter des Monats","the employee of the month","","2025-03-17T20:59:37.909Z"
"die Branche","the industry","","2025-03-17T20:45:10.748Z"
"haufenweise","heaps of it","Wir haben haufenweise Hausaufgaben für die nächste Woche.","2025-04-07T13:54:00.792Z"
"gegeben","given","Ich habe dir das Buch gegeben.","2024-08-11T19:15:20.734Z"
"mies","lousy, crappy","Das Wetter ist heute wirklich mies.","2025-04-18T22:44:16.583Z"
"der Rand","the edge","Der Rand des Tisches ist beschädigt.","2024-09-27T09:35:53.508Z"
"genommen","taken","","2024-04-25T10:39:48.291Z"
"mamis","mums","","2025-04-07T20:12:25.928Z"
"übel","bad, nasty, sickening","Mir ist übel nach dem Essen.","2025-04-18T22:44:32.562Z"
"kooperieren","cooperate","","2025-03-17T20:54:46.252Z"
"die Leine","the leash","Ich nehme die Leine, bevor wir mit dem Hund spazieren gehen.","2025-04-18T22:32:53.072Z"
"die Strategie","The strategy","","2025-03-17T20:54:31.895Z"
"Ich bin nur seinetwegen hier.","I'm only here because of him.","","2025-04-21T13:37:42.402Z"
"wohl (adverb)","probably / apparently (adverb version)","Er ist wohl zu Hause.","2025-04-18T22:54:37.105Z"
"Die Garantie","The warranty","","2025-03-17T20:54:03.940Z"
"ausfüllen","to complete","","2024-06-20T22:54:59.473Z"
"die Dreifaltigkeit","the Trinity","","2025-04-07T20:08:54.808Z"
"Die Schraube","the Screw","Ich brauche eine Schraube, um das Regal zu befestigen.","2025-04-20T22:29:48.305Z"
"das öffentliche Image","the public image","","2025-03-17T20:45:47.665Z"
"ermorden","to murder","Der Detektiv versucht, den Mörder zu finden, der das Opfer ermordet hat.","2025-04-06T20:08:34.750Z"
"die Klausel","the clause","","2025-03-17T20:54:20.361Z"
"der kumpel","the mate","Hey Kumpel, hast du Lust, ins Kino zu gehen?","2025-04-16T22:48:27.592Z"
"spähen","peek","Der Junge spähte durch das Fenster, um zu sehen, ob seine Freunde draußen spielen.","2024-08-12T22:11:27.598Z"
"Die Tapferkeit","The bravery","Der Soldat zeigte große Tapferkeit im Kampf.","2024-08-26T11:50:45.419Z"
"die Verpackung","the packaging","","2025-03-17T20:53:46.744Z"
"entschlossen","determined/resolute","Sie trat entschlossen auf und sprach ihre Meinung laut aus.","2024-09-06T17:54:26.248Z"
"bemühungen","endeavours","Wir sollten unsere Bemühungen verstärken, um das Projekt rechtzeitig abzuschließen.","2024-09-28T00:08:55.242Z"
"gehirngewaschene","brainwashed","","2025-04-07T20:00:53.173Z"
"Torschlusspanik","the feeling of anxiety or urgency that arises when one realizes that time is running out to achieve a certain goal","Die Torschlusspanik setzte ein, als er merkte, dass er bald 30 wird und noch keine Familie gegründet hat.","2025-03-18T21:21:27.640Z"
"Ernüchterung","Disillusionment","","2024-12-17T23:35:46.942Z"
"momentan","currently","Momentan wohne ich in Berlin.","2025-03-16T19:11:33.601Z"
"die Beförderung","the promotion","Aufstieg","2025-03-17T20:54:12.918Z"
"Ablenkung","Distraction","Ich brauche keine Ablenkung, ich muss mich auf meine Arbeit konzentrieren.","2024-06-22T12:31:03.005Z"
"Werde zum Großkhan","Become the Great Khan","","2025-04-26T12:14:04.063Z"
"die Inflation","the inflation","","2025-03-17T20:54:57.650Z"
"Ergänzung","to \"supplement\" or \"addition\"","Die Lehrerin gab uns eine Ergänzung zu den Hausaufgaben.","2025-04-06T11:16:50.576Z"
"betrachtest","consider (you)","","2025-04-26T12:07:40.704Z"
"Seinetwegen","because of him","Ich bin nur seinetwegen hier.","2025-04-21T13:37:38.359Z"
"Tatsächlich","In fact","Tatsächlich könnte vieles,\nwas wir über Sucht zu wissen glauben,","2024-09-05T18:29:41.298Z"
"der Begriff","the concept, term","Der Begriff \"Freundschaft\" hat für jeden eine andere Bedeutung.","2025-04-18T23:03:38.498Z"
"der Verbraucher","the consumer","","2025-03-17T20:45:21.847Z"
"die Tanne","Fir","Im Winter schmücken wir die Tanne mit bunten Lichtern.","2025-04-20T22:28:59.684Z"
"MEISTGESPIELT","MOST PLAYED","","2025-04-28T21:02:12.440Z"
"das Eingabefeld","the input field","","2025-04-28T21:17:38.875Z"
"kindermärchen","children's tales","","2025-04-06T20:13:47.251Z"
"die Seide","silk","Ich habe einen wunderschönen Seidenschal geschenkt bekommen.","2025-04-26T12:54:10.153Z"
"die gerechtigkeit","the justice","Die Gerechtigkeit ist ein wichtiges Ziel in unserer Gesellschaft.","2025-04-07T19:50:29.450Z"
"knistert","crackles","Das Feuer knistert im Kamin.","2025-04-16T22:50:31.735Z"
"der Seestern","the starfish","","2024-08-26T22:57:53.824Z"
"hauseigenen","in-house","","2024-12-16T23:07:54.931Z"
"grausamer","crueler","","2025-04-07T19:59:18.534Z"
"diesmal","this time","Diesmal werde ich pünktlich sein.","2025-04-07T19:58:32.544Z"
"der Brückentag, -e\n\n","the bridge day, -e\n\n","","2025-03-18T21:10:09.761Z"
"Murks","Rubbish","Die Reparatur war totaler Murks und hat das Problem nur verschlimmert.","2025-04-07T13:53:37.040Z"
"schlussendlich","ultimately/in the end","Schlussendlich haben wir uns für das blaue Auto entschieden.","2025-04-07T13:54:22.043Z"
" am liebsten den Fernseher ausmachen"," preferably switch off the television","Sie fühlen sich deshalb selbst schlecht und würden am liebsten den Fernseher ausmachen.","2025-03-18T21:15:02.304Z"
"dezente","discreet","Die dezente Farbe des Kleides passt perfekt zu ihrem Stil.","2025-04-16T22:49:25.765Z"
"Lieblingsbeschäftigungen","Favourite activities","Meine Lieblingsbeschäftigungen sind Lesen und Kochen.","2024-09-05T17:59:33.258Z"
"verdienen","to earn","Ich verdiene gut in meiner neuen Arbeit.","2023-07-28T01:37:11.873Z"
"ich","I","Ich gehe heute ins Kino.","2025-04-26T12:05:24.803Z"
"gesichtsausdruck","facial expression","","2025-04-21T14:39:06.551Z"
"die Geduld","the patience","Manchmal braucht man Geduld, um die richtigen Entscheidungen zu treffen.","2025-04-18T22:41:06.875Z"
"die Geschmacksverirrung","the aberration of taste","","2025-03-18T21:15:47.751Z"
"das Komitee","the committee","","2025-03-17T20:44:59.865Z"
"herzuleiten","to derive","","2024-08-09T21:30:57.590Z"
"der Krüppel","the cripple","Der Krüppel konnte nicht an dem Wettlauf teilnehmen.","2025-04-07T20:10:32.731Z"
"die Gegend","the Area","Die Gegend hier ist sehr schön.","2023-08-07T18:05:23.957Z"
"vergagenheit","forgetfulness","","2024-08-09T21:24:39.762Z"
"der Nachteil","the disadvantage","","2025-03-17T20:59:45.072Z"
"bettwäsche","bed linen","Ich habe neue Bettwäsche für mein Schlafzimmer gekauft.","2025-03-16T19:04:38.104Z"
"die Marktforschung","the market research","","2025-03-17T20:45:48.971Z"
"Die Komödie","The comedy","Ich habe gestern eine lustige Komödie im Kino gesehen.","2025-04-28T20:59:54.996Z"
"bloß","just","","2024-04-25T10:40:47.590Z"
"der Vertrieb","the distribution","","2025-03-17T20:45:42.950Z"
"verkriechen","hide away","Als der Sturm begann, verkriechte sich der Hund unter dem Tisch.","2025-04-17T22:17:54.749Z"
"die Wohlfahrt","the welfare","","2025-03-17T20:59:41.769Z"
"der Stoßzahn","the tusk","Der Elefant hat zwei große Stoßzähne, die aus Elfenbein bestehen.","2025-04-21T13:31:32.631Z"
"hingegen","on the other hand (formal/written)","Die erste Gruppe hat viel geübt, die zweite Gruppe hingegen hat kaum trainiert.","2024-08-09T21:31:56.487Z"
"umzugehen","to deal with","Es ist wichtig, respektvoll mit anderen umzugehen.","2024-09-29T10:22:44.858Z"
"kabellos","wireless","","2024-09-17T13:36:15.661Z"
"der Mut","the courage","Er zeigte großen Mut, als er das Feuer löschte.","2025-04-18T22:41:52.585Z"
"der Leuchtturm","the lighthouse","Der Leuchtturm steht auf der Klippe und leuchtet in der Nacht.","2025-03-16T19:04:20.450Z"
"das Weichholz","the softwood","","2025-04-21T13:00:21.135Z"
"die Ausrede","the excuse","Er hat immer eine Ausrede, warum er zu spät kommt.","2025-04-18T23:00:56.610Z"
"die Öffentlichkeitsarbeit","public relations","Die Öffentlichkeitsarbeit ist ein wichtiger Bestandteil der Unternehmensstrategie.","2025-03-17T20:45:09.799Z"
"der Stich","the sting/stitch(sewing)","Ich habe einen Stich im Arm von der Biene bekommen.","2025-04-17T13:55:32.737Z"
"die Lohnerhöhung","the wage increase","","2025-03-17T20:53:51.216Z"
